GREY,SALOON,2490,2015,11,1620,BMW,525I,PETROL,GERMANY,ROTORUA DISTRICT,2006,WBANE52080C
GREEN,STATION WAGON,1998,2008,6,1890,TOYOTA,VISTA,PETROL,JAPAN,DUNEDIN CITY,1999,7A8H6160708
SILVER,CONVERTIBLE,2970,2006,8,1450,BMW,Z3,PETROL,GERMANY,TIMARU DISTRICT,2002,WBACN52000L
GREEN,SALOON,1500,1995,2,0,HONDA,CIVIC,PETROL,JAPAN,CLUTHA DISTRICT,1994,7A3EG8520RN
GREEN,SALOON,3900,1990,5,0,FORD,FALCON,PETROL,AUSTRALIA,TASMAN DISTRICT,1990,6FPAAAJG23K
SILVER,STATION WAGON,1790,2015,11,1735,AUDI,A3,PETROL,GERMANY,CHRISTCHURCH CITY,2008,WAUZZZ8P98A
GREEN,HATCHBACK,1490,2015,8,1415,NISSAN,TIIDA,PETROL,JAPAN,AUCKLAND,2006,7AT0DH78X15
BLACK,UTILITY,5720,2015,11,2785,CHEVROLET,C1500,PETROL,UNITED STATES,LOWER HUTT CITY,1995,1GCEC19K1RE
RED,HATCHBACK,1998,2015,12,1840,MAZDA,MAZDA3,PETROL,JAPAN,PALMERSTON NORTH CITY,2015,JM0BM547810
WHITE,CARAVAN,0,2015,2,1000,ZEPHYR,RETRO,0,NEW ZEALAND,CHRISTCHURCH CITY,1965,0
SILVER,HATCHBACK,3180,2015,12,1865,VOLKSWAGEN,GOLF,PETROL,GERMANY,CHRISTCHURCH CITY,2007,WVWZZZ1KZ7W
WHITE,SELF PROPELLED CARAVAN,2287,2015,12,3500,FIAT,DUCATO,DIESEL,UNITED KINGDOM,TIMARU DISTRICT,2015,ZFA25000002
BLACK,LIGHT VAN,2497,2013,7,3160,HYUNDAI,ILOAD,DIESEL,SOUTH KOREA,NEW PLYMOUTH DISTRICT,2013,KMFWBX7KLDU
BLACK,FLAT-DECK TRAILER,0,2015,12,0,TRAILER,CAR TRANSPORT,0,NEW ZEALAND,WAIKATO DISTRICT,1998,0
WHITE,STATION WAGON,1990,2014,3,1695,HONDA,CRV,PETROL,JAPAN,SELWYN DISTRICT,2004,7AT08G7HX14
RED,DOMESTIC TRAILER,0,1976,7,1999,TRAILER,TRAILER,0,NOT KNOWN,MARLBOROUGH DISTRICT,1968,0
BLUE,OTHER COMMERCIAL TRAILER,0,1987,6,3499,HOMEBUILT,MISC,0,NEW ZEALAND,GORE DISTRICT,1987,0
BLACK,STATION WAGON,2967,2004,8,2089,MAZDA,TRIBUTE,PETROL,JAPAN,AUCKLAND,2004,JM0CU081Y41
WHITE,SELF PROPELLED CARAVAN,2143,2015,12,3490,MERCEDES-BENZ,SPRINTER,DIESEL,GERMANY,AUCKLAND,2015,WDB9066352P
GREEN,SALOON,3564,2014,6,2284,HOLDEN,COMMODORE,PETROL,AUSTRALIA,AUCKLAND,2014,6G1FB5E31EL
BLUE,CONVERTIBLE,1600,1991,1,0,MAZDA,MX5,PETROL,JAPAN,AUCKLAND,1990,JM0NA306100
GREY,DOMESTIC TRAILER,0,1990,8,3499,HOMEBUILT,HOMEBUILT,0,NEW ZEALAND,NELSON CITY,1990,0
GREY,BOAT TRAILER,0,1990,8,3499,HOMEBUILT,V16.50,0,NEW ZEALAND,CHRISTCHURCH CITY,1990,0
SILVER,BOAT TRAILER,0,1990,5,3499,HOMEBUILT,FUNWAY,0,NEW ZEALAND,CARTERTON DISTRICT,1990,0
GREY,STATION WAGON,2997,2015,11,2505,HOLDEN,CAPTIVA,PETROL,SOUTH KOREA,CHRISTCHURCH CITY,2015,KL3CD2659FB
SILVER,HATCHBACK,1490,2015,11,1515,MAZDA,AXELA,PETROL,JAPAN,AUCKLAND,2006,7AT0C13JX15
GOLD,SALOON,1997,2015,11,1495,NISSAN,BLUEBIRD,PETROL,JAPAN,CHRISTCHURCH CITY,2006,7AT0DH1EX15
SILVER,STATION WAGON,2350,2015,11,1795,HONDA,CRV,PETROL,JAPAN,WESTERN BAY OF PLENTY DISTRICT,2006,7AT08G7HX15
SILVER,UTILITY,2982,2012,11,2780,TOYOTA,HILUX,DIESEL,THAILAND,MASTERTON DISTRICT,2012,MR0FZ29GX01
SILVER,HATCHBACK,1396,2015,11,1565,HYUNDAI,I20,PETROL,INDIA,HOROWHENUA DISTRICT,2015,MALBB51CMGM
